Date,Open,High,Low,Close,Volume
8/1/2024,2772.24,2805.57,2742.53,2755.62,"21,713,431,007.74"
7/31/2024,2708.25,2791.02,2707.57,2760.9,"21,911,503,161.06"
7/30/2024,2669.41,2709.89,2609.02,2696.65,"17,266,391,542.97"
7/29/2024,2706.73,2737.68,2655.15,2661.09,"19,609,177,106.29"
7/28/2024,2606.42,2708.58,2606.4,2681.56,"15,810,596,235.45"
7/25/2024,2540.14,2572.88,2518.47,2568.11,"14,137,899,049.28"
7/24/2024,2573.23,2600.41,2513.43,2536.11,"16,208,577,314.53"
7/23/2024,2493.92,2563.45,2469.56,2563.43,"14,116,330,995.76"
7/22/2024,2491.17,2504.53,2441.56,2488.09,"13,915,535,440.98"
7/21/2024,2431.49,2494.71,2408.25,2485.94,"15,238,271,290.98"
7/18/2024,2373.53,2459.94,2355.59,2424.32,"15,548,800,738.21"
7/17/2024,2323.68,2364.76,2311.93,2364.63,"12,059,266,113.47"
7/16/2024,2243.07,2310.84,2231.83,2310.59,"9,114,401,552.61"
7/15/2024,2277.86,2288.16,2231.69,2240.41,"8,731,436,037.15"
7/14/2024,2239.41,2290.95,2230.5,2257.59,"7,620,498,520.87"
7/11/2024,2188.64,2205.15,2185.02,2204.61,"7,080,698,146.05"
7/10/2024,2162.87,2176.6,2160.63,2175.4,"5,744,083,391.51"
7/9/2024,2138.61,2152.24,2129.71,2152.14,"5,535,958,885.31"
7/8/2024,2143.95,2149.19,2128.72,2136.35,"4,569,836,106.00"
7/7/2024,2122,2147.12,2121.26,2140.97,"6,002,931,854.71"
7/4/2024,2107.78,2129.37,2105.83,2119.69,"6,482,546,980.64"
7/3/2024,2101.84,2104.38,2076.95,2104.22,"5,083,528,935.17"
7/2/2024,2085.83,2162.49,2085.82,2100.43,"4,576,831,720.09"
7/1/2024,2038.7,2053.38,2030.38,2053.38,"2,999,965,021.53"
6/30/2024,2051.73,2059.79,2034.5,2037.09,"3,607,198,407.66"
6/27/2024,2059.61,2059.97,2046.95,2051.92,"3,715,903,824.54"
6/26/2024,2075.75,2077.26,2055.2,2060.16,"4,058,047,734.22"
6/25/2024,2067.32,2077.63,2067.03,2071.77,"4,187,796,833.89"
6/24/2024,2063.09,2079.36,2058.81,2066.16,"5,077,255,116.15"
6/23/2024,2068.71,2079.76,2057.34,2062.94,"4,374,597,458.65"
6/20/2024,2095.13,2095.38,2063.9,2068.31,"3,870,744,903.34"
6/19/2024,2077.75,2086.85,2073.34,2078.76,"3,404,372,632.64"
6/18/2024,2098.6,2099.02,2073.91,2076.49,"4,055,737,884.32"
6/16/2024,2116.03,2117.15,2090.13,2095.25,"5,472,253,551.85"
6/13/2024,2125.31,2127.09,2106.25,2112.29,"6,443,029,208.11"
6/12/2024,2116.91,2134.12,2116.33,2121.62,"5,894,089,245.13"
6/11/2024,2099.77,2115.27,2086.81,2115.24,"5,555,361,739.06"
6/10/2024,2088.14,2089.15,2072.23,2082.09,"5,490,609,782.28"
6/9/2024,2093.71,2093.71,2068.84,2073.19,"5,189,079,522.44"
6/6/2024,2080.56,2089.1,2073.47,2077.78,"4,388,278,720.38"
6/5/2024,2087.74,2091.88,2072.31,2079.71,"3,992,976,492.79"
6/4/2024,2087.03,2092.71,2077.56,2085.3,"4,084,715,877.41"
6/3/2024,2087.8,2096.57,2073.02,2079.07,"4,004,070,243.60"
6/2/2024,2073.06,2086.44,2068.08,2083.04,"4,311,015,629.95"
5/30/2024,2091.03,2100.11,2065.59,2069.53,"4,217,494,195.65"
5/29/2024,2133.73,2153.39,2086.44,2089.42,"4,575,063,274.39"
5/27/2024,2111.67,2124.57,2096.83,2113.27,"3,893,764,143.93"
5/26/2024,2135.25,2142.58,2106.36,2109.34,"4,441,538,471.70"
5/22/2024,2116.74,2140.24,2108.37,2131.49,"5,687,680,912.80"
5/21/2024,2095.57,2118.34,2081.07,2115.94,"5,206,208,111.56"
5/20/2024,2069.88,2121.01,2069.52,2092,"5,854,354,212.19"
5/19/2024,2044.81,2068.91,2028.07,2064.45,"5,251,024,786.63"
5/16/2024,2029.1,2029.1,2009.35,2018.76,"4,233,816,403.71"
5/15/2024,2030.87,2048.29,2012.56,2017.97,"3,708,430,055.17"
5/14/2024,2000.7,2027.59,1999.14,2027.51,"4,088,853,664.80"
5/13/2024,1979.68,2000.55,1970.54,1998.89,"3,408,608,157.91"
5/12/2024,1973.79,1981.79,1961.89,1974.5,"3,155,142,168.43"
5/9/2024,1963.45,1970.55,1955.15,1966.23,"3,121,286,362.59"
5/8/2024,1961.28,1968.25,1954.22,1960.6,"2,547,030,825.50"
5/7/2024,1959.91,1970.71,1955.16,1960.81,"2,140,502,621.77"
5/6/2024,1980.23,1980.81,1952.63,1958.75,"2,891,319,979.88"
5/5/2024,1998.45,1999.17,1969.96,1974.37,"3,795,748,296.39"
5/2/2024,2025.79,2026.62,1995.49,1998.96,"4,133,362,726.23"
4/30/2024,1991.51,2016.61,1979.31,2006.28,"4,800,044,601.66"
4/29/2024,1990.32,1990.31,1974.52,1980.34,"2,959,458,501.43"
4/28/2024,1973.54,1981.55,1965.14,1980.27,"2,682,586,955.82"
4/25/2024,1971.36,1974.91,1960.92,1965.93,"2,366,975,594.12"
4/24/2024,1969.41,1979.57,1963.34,1969.17,"2,536,431,998.50"
4/22/2024,1984.08,1992.78,1964.42,1969.02,"2,058,305,185.19"
4/21/2024,1972.92,1984.46,1953.29,1984.43,"2,259,959,456.89"
4/18/2024,1992.37,1992.37,1967.39,1972.14,"2,093,612,792.78"
4/16/2024,2004.97,2004.96,1988.19,1991.71,"2,103,019,218.58"
4/15/2024,2022.32,2026.99,2002.21,2006.52,"2,797,577,432.68"
4/14/2024,2025.7,2031.9,2017.88,2023.35,"3,063,772,652.62"
4/10/2024,2038.11,2045.46,2016.34,2025.3,"3,485,660,640.32"
4/9/2024,2035.2,2046.61,2030.44,2036.01,"4,143,783,989.11"
4/7/2024,2009.05,2026.82,2000.36,2026.81,"4,256,676,333.56"
4/4/2024,2007.13,2011.37,2000.33,2004.05,"3,037,267,307.85"
4/3/2024,2011.66,2017.21,1999.85,2006.78,"2,536,233,986.67"
4/2/2024,2014.55,2018.07,2004.28,2010.21,"2,291,645,585.49"
4/1/2024,2017.18,2019.76,2006.96,2012.07,"2,874,754,305.75"
3/31/2024,2034.71,2040.48,2014.32,2018.33,"3,205,332,324.76"
3/28/2024,2033.42,2039.34,2023.13,2035.64,"2,653,349,468.51"
3/27/2024,2042.09,2053.71,2025.1,2030.86,"2,235,485,534.30"
3/26/2024,2033,2048.74,2032.13,2041.7,"2,354,348,503.01"
3/25/2024,2050.68,2051.67,2027.77,2031.55,"2,489,118,485.08"
3/21/2024,2065.52,2074.97,2045.11,2048.57,"4,313,017,713.50"
3/20/2024,2072.48,2084.59,2058.78,2063.95,"3,496,284,036.16"
3/19/2024,2074.54,2091.52,2064.44,2067.29,"3,633,936,554.87"
3/18/2024,2073.59,2075.62,2060.08,2073.53,"2,885,637,818.91"
3/17/2024,2082.41,2086.03,2064.32,2070.25,"3,387,980,384.33"
3/14/2024,2110.55,2110.55,2074.05,2080.87,"3,943,592,302.13"
3/13/2024,2123.91,2124.08,2093.89,2108.72,"4,248,523,332.22"
3/12/2024,2065.63,2111.24,2064.08,2111.24,"4,551,632,347.82"
3/10/2024,2032.58,2061.2,2032.58,2052.65,"2,922,771,558.91"
3/7/2024,2020.95,2040.9,2017,2030.55,"3,199,205,820.35"
3/6/2024,2008.93,2036.32,1992.34,2017.03,"3,450,838,357.20"
3/5/2024,2094.71,2095.19,2003.77,2007.69,"4,113,676,958.02"
3/4/2024,1976.14,2078.16,1976.14,2078,"375,209,978.32"
3/3/2024,1972.63,1975.39,1946.42,1960.3,"2,082,786,089.08"
2/29/2024,2001.02,2007.57,1970.04,1972.09,"2,598,737,228.86"
2/28/2024,2002.94,2009.5,1992.46,2000.77,"2,038,100,977.42"
2/27/2024,1992.7,2007.85,1980.43,2001.64,"1,869,813,526.21"
2/26/2024,1980.9,1997.52,1973.3,1992.3,"2,017,739,060.68"
2/25/2024,2006.89,2011.81,1976.68,1979.02,"3,086,951,070.51"
2/22/2024,2027.57,2030.4,2000.55,2005.83,"3,206,167,025.37"
2/21/2024,2034.39,2044.44,2020.88,2026.59,"2,241,961,799.37"
2/20/2024,2034.79,2043.5,2025.89,2033.06,"3,113,556,978.43"
2/18/2024,2060.68,2062.32,2030.29,2034.82,"3,775,422,196.17"
2/15/2024,2075.62,2077.1,2055.72,2062.03,"3,869,118,741.98"
2/14/2024,2071.71,2081.62,2064.34,2076.5,"4,252,722,895.26"
2/13/2024,2101.56,2101.55,2064.84,2070.59,"4,667,179,304.14"
2/12/2024,2085.81,2103.91,2081.81,2101.16,"3,586,984,128.48"
2/11/2024,2101.28,2109.32,2083.6,2085.82,"4,085,678,472.16"
2/8/2024,2094.18,2097.97,2082.72,2096.38,"3,212,283,453.63"
2/7/2024,2095.1,2107.57,2086.76,2090.64,"2,842,550,237.47"
2/6/2024,2073.83,2087.24,2067.59,2085.71,"2,591,534,907.76"
2/5/2024,2063.93,2084.8,2060.55,2076.27,"2,438,058,254.56"
2/4/2024,2067.47,2072.9,2053.46,2061.7,"3,216,727,221.79"
2/1/2024,2103.2,2103.22,2063.68,2067.01,"4,180,632,139.37"
1/31/2024,2119.17,2131.28,2088.48,2097.93,"5,295,605,057.48"
1/30/2024,2105.87,2128.11,2105.46,2119.61,"5,544,217,593.12"
1/29/2024,2097.48,2114.79,2097.23,2104.72,"4,566,522,230.82"
1/28/2024,2084.64,2098.14,2075.37,2094.46,"3,833,776,580.76"
1/25/2024,2088.49,2096.75,2072.78,2084.09,"3,764,505,450.98"
1/24/2024,2098.97,2120.46,2083.45,2088.04,"3,897,022,598.98"
1/23/2024,2096.99,2112.15,2087.22,2098.29,"4,294,566,751.66"
1/22/2024,2128.56,2134.81,2090.64,2098.69,"6,366,070,003.35"
1/21/2024,2156.52,2165.67,2123.86,2130.18,"7,677,740,058.04"
1/18/2024,2163.39,2167.43,2133.12,2155.82,"8,174,986,282.97"
1/17/2024,2181.8,2215.54,2154.02,2163.06,"9,768,969,868.61"
1/16/2024,2125.2,2178.37,2125.11,2175.17,"8,023,862,406.69"
1/14/2024,2093.48,2121.67,2093.44,2120.62,"5,450,421,806.40"
1/11/2024,2091.28,2106.43,2082.49,2088.99,"4,307,763,277.27"
1/10/2024,2084.59,2116.44,2084.44,2089.62,"5,134,848,789.38"
1/9/2024,2063.56,2098.04,2063.42,2080.12,"6,118,317,866.67"
1/8/2024,2025.89,2059.66,2025.62,2059.49,"4,675,224,906.28"
1/7/2024,2049.9,2056.49,2019.77,2022.92,"5,241,408,379.85"
1/4/2024,2058.57,2072.08,2046.05,2049.28,"5,581,107,804.70"
1/3/2024,2030.95,2058.31,2023.76,2058,"4,048,857,454.59"
