,0
0,1798.790833568225
1,1838.4696345932095
2,1866.492912876361
3,1881.45
4,1877.928331326073
5,1862.7511399103137
6,1845.3929150544523
7,1826.4439364509929
8,1813.6878922485585
9,1768.546502882767
10,1764.664663549007
11,1675.8225674567586
12,1760.3626251121077
13,1779.5217032671362
14,1774.8194752081995
15,1733.8600673926971
16,1694.721522357463
17,1717.3722549647664
18,1734.86054144779
19,1722.3546157591288
20,1683.0259806534268
21,1694.0912237027546
22,1730.5484982703392
23,1748.1668463805252
24,1766.4855263292761
25,1788.0357374759767
26,1797.450198334401
27,1805.1438438180653
28,1819.800788725176
29,1838.8798289557976
30,1834.7778853299167
31,1824.8031590006406
32,1823.0223151825753
33,1816.7793570787958
34,1818.6602483023703
35,1815.138579628443
36,1804.4435119795003
37,1786.4549884689302
38,1779.0814946828957
39,1766.8557017296607
40,1730.5985219730942
41,1757.041051249199
42,1753.6594489429851
43,1749.0372588084558
44,1753.3192877642537
45,1763.7242179372195
46,1780.3621014734144
47,1798.4606771300448
48,1806.564516976297
49,1819.8508124279306
50,1803.7031611787315
51,1793.3182404868674
52,1792.6879418321587
53,1788.8161072389491
54,1794.4287666880205
55,1782.3430401024984
56,1768.8366403587443
57,1750.9381595131326
58,1753.399325688661
59,1759.6522885329914
60,1762.153473670724
61,1749.0572682895577
62,1724.41559231262
63,1696.7724941704032
64,1697.0826411274822
65,1700.6843477258167
66,1706.1969597693785
67,1701.824888148623
68,1698.813461242793
69,1657.9741103139013
70,1599.4863970531708
71,1605.8694215246637
72,1582.3282670083279
73,1539.8481386290837
74,1533.8653037796282
75,1469.2847035233824
76,1509.9839880845611
77,1553.5246189622035
78,1608.2005260730298
79,1600.356809481102
80,1570.802805893658
81,1544.44031454196
82,1554.355012427931
83,1553.744723254324
84,1544.5203524663675
85,1522.629980140935
86,1509.2536420243434
87,1515.906794490711
88,1529.8934217809096
89,1531.1840333119792
90,1514.7062256245995
91,1495.8072707238948
92,1470.4352486867392
93,1475.2175146700833
94,1432.3572061499037
95,1407.3053358103778
96,1412.9279999999999
97,1443.592529788597
98,1465.5229210762332
99,1482.6610416399742
100,1456.6187019859062
101,1457.6191760409993
102,1447.2442600896861
103,1447.2942837924406
104,1460.4004939141573
105,1476.7082210121716
106,1476.3180361306854
107,1479.6696242152464
108,1477.5286097373478
109,1465.8930964766173
110,1462.8416506085841
111,1462.0312666239588
112,1462.3614230621395
113,1465.6429779628443
114,1457.6792044843048
115,1432.7774052530428
116,1396.3801591287634
117,1374.8999811659194
118,1309.4289590006406
119,1326.3369705317102
120,1389.5969450352336
121,1382.2134465086483
122,1364.254937219731
123,1348.587513516976
124,1344.3455035233824
125,1322.7152544522742
126,1295.9525734785393
127,1252.2018430493272
128,1278.694396028187
129,1274.7725377322226
130,1316.5323247918
131,1343.5951479820626
132,1369.1072363869312
133,1364.8652263933375
134,1357.321652017937
135,1343.5451242793079
136,1337.202118770019
137,1312.740528122998
138,1299.0140240871233
139,1316.5323247918
140,1329.1483026265214
141,1354.090120819987
142,1358.1620502242151
143,1341.3040623958998
144,1347.306906726457
145,1354.9805427290196
146,1346.8366839205635
147,1355.8809693786034
148,1357.0915429852657
149,1381.953323254324
150,1424.1633236386933
151,1462.0312666239588
152,1480.8902025624598
153,1485.8525538757206
154,1533.6652089686097
155,1610.4916116591926
156,1588.1510260089685
157,1587.5007178731585
158,1667.0083910313901
159,1660.4152670083279
160,1656.9136078155025
161,1650.9307729660472
162,1651.491038436899
163,1676.1527238949388
164,1709.7386379244072
165,1702.9854380525303
166,1697.0426221652788
167,1651.5010431774501
168,1611.9122848174245
169,1661.9159780909672
170,1659.3547645099293
171,1693.6310056374118
172,1675.6825010890454
173,1672.2808893017298
174,1670.1999032671365
175,1670.520054964766
176,1650.670649711723
177,1658.7744895579758
178,1662.2761487508005
179,1653.071787443946
180,1628.860315310698
181,1637.184259449071
182,1650.7006639333758
183,1658.4743473414478
184,1659.1246554772583
185,1649.1299196668801
186,1644.1475588725175
187,1643.757373991031
188,1627.1194904548365
189,1616.2743516976295
190,1626.3891443946186
191,1629.4605997437538
192,1615.4539629724532
193,1594.293936707239
194,1607.9804217809096
195,1604.1786203715567
196,1593.7636854580398
197,1602.5178334401023
198,1637.2542926329274
199,1623.0075420884048
200,1615.0637780909674
201,1590.3520689301727
202,1580.3773426008968
203,1585.009537475977
204,1584.3492245996156
205,1589.451642280589
206,1575.835190390775
207,1555.0053205637412
208,1550.913381678411
209,1554.5350977578473
210,1559.3373732222933
211,1567.5712746957076
212,1564.9400279308134
213,1563.6594211402946
214,1541.658996668802
215,1544.1301675848813
216,1541.1187406790518
217,1550.9033769378602
218,1581.9680963484946
219,1584.0090634208839
220,1575.0748301089043
221,1584.8694711082637
222,1587.4206799487506
223,1582.5283618193466
224,1583.42878846893
225,1604.0185445227416
226,1638.2947856502242
227,1637.154245227418
228,1635.6335246636768
229,1635.4434345932093
230,1628.9603627162073
231,1636.073733247918
232,1644.917923894939
233,1646.4186349775782
234,1643.1670942985265
235,1652.5815551569506
236,1660.145139013453
237,1662.636319410634
238,1660.4752954516332
239,1664.9474144778985
240,1667.838784497117
241,1661.6158358744392
242,1653.4219533632286
243,1642.0165491351695
244,1629.0404006406152
245,1632.54205983344
246,1629.6306803331195
247,1617.8450959641254
248,1611.442062011531
249,1613.9232376681612
250,1611.141919795003
251,1619.996115182575
252,1622.1971581037794
253,1612.7826972453554
254,1598.2257997437537
255,1579.8871103139013
256,1554.4050361306854
257,1566.3506963484945
258,1554.3950313901344
259,1519.4884916079436
260,1523.0901982062778
261,1502.0202146060217
262,1493.0159481101857
263,1530.1435402946827
264,1547.7818978859705
265,1543.5398878923766
266,1539.6480438180652
267,1536.7566737988468
268,1545.2807127482383
269,1549.3026184497116
270,1556.1958846893017
271,1542.369333247918
272,1509.8339169762971
273,1501.7100676489429
274,1502.4504184497118
275,1505.8120112748238
276,1509.843921716848
277,1518.1078374119152
278,1564.7199236386928
279,1559.0272262652147
280,1568.2015733504163
281,1571.7732657270979
282,1568.1515496476616
283,1567.4912367713005
284,1553.5646379244074
285,1540.0682429212043
286,1536.5565789878283
287,1533.365066752082
288,1526.3417388853297
289,1522.639984881486
290,1496.2774935297884
291,1493.236052402306
292,1484.261800128123
293,1466.4233477258165
294,1460.5305555413195
295,1476.9483347853939
296,1490.6948483023702
297,1515.8467660474053
298,1504.6114424087123
299,1488.873985522101
300,1475.5276616271622
301,1468.9645518257528
302,1472.0460119154386
303,1480.0698138372836
304,1493.1059907751442
305,1514.1659696348493
306,1513.5656852017937
307,1523.6904826393336
308,1535.9562945547723
309,1537.5070293401666
310,1526.6018621396538
311,1524.7009614349774
312,1536.3764936579114
313,1530.3236256245993
314,1527.5823267136448
315,1510.0340117873156
316,1520.5690035874438
317,1519.978723894939
318,1508.9635045483665
319,1508.0730826393335
320,1493.3060855861627
321,1484.2818096092246
322,1471.9559692504804
323,1467.773987700192
324,1446.8340657270978
325,1425.293859320948
326,1414.5587727098011
327,1390.3573053171042
328,1434.588263292761
329,1437.0294199871876
330,1416.3896402306211
331,1423.6130629083918
332,1431.586841127482
333,1443.592529788597
334,1455.8683464445867
335,1440.080865855221
336,1430.8865092889173
337,1413.488265470852
338,1406.2948570147341
339,1402.4430319026264
340,1401.8627569506725
341,1392.4783103139014
342,1396.2500975016014
343,1404.303913645099
344,1405.724586803331
345,1402.0028233183855
346,1404.2638946828956
347,1411.2972272901984
348,1410.2867484945546
349,1399.821789878283
350,1393.7989360666238
351,1381.7832426649582
352,1390.7975139013452
353,1384.4745178731582
354,1380.0524225496474
355,1388.706523126201
356,1424.733593850096
357,1413.6783555413197
358,1396.4902112748239
359,1386.8456413837282
360,1386.8356366431772
361,1374.9700143497757
362,1358.6722919923125
363,1364.5650841768095
364,1345.7361624599614
365,1304.2064844330557
366,1287.4585487508007
367,1296.1626730301086
368,1314.861533119795
369,1289.239392568866
370,1276.723462139654
371,1281.6157802690582
372,1285.6777049327354
373,1288.078842664958
374,1278.674386547085
375,1270.2303855221012
376,1255.173250992953
377,1230.7616840486867
378,1220.1266448430492
379,1168.2120461242791
380,1207.3906101217167
381,1204.4892353619473
382,1204.4892353619473
383,1195.9151727098013
384,1192.6336178090967
385,1198.6764811018577
386,1226.1394939141576
387,1250.0908427930813
388,1294.3718244714926
389,1287.4985677130044
390,1269.9402480461242
