,layers,rmse,mape,R,elapsed_time
0,[10],154.78239717904142,6.410396739982904,0.9486087851160457,12.39707981745402
1,[30],115.61154810281803,4.7947794630641125,0.9686334270061641,12.590489506721497
2,[50],109.16852881049405,4.877406194293018,0.9837912816363237,21.049000716209413
