,0
0,1105.2335756853397
1,1106.1642908224076
2,1107.0950059594754
3,1108.0257210965435
4,1108.9564362336114
5,1109.8871513706792
6,1110.8178665077473
7,1111.7485816448152
8,1112.679296781883
9,1113.6100119189512
10,1114.540727056019
11,1115.471442193087
12,1116.402157330155
13,1117.3328724672228
14,1118.2635876042907
15,1119.1943027413588
16,1120.1250178784267
17,1121.0557330154945
18,1121.9864481525626
19,1122.9171632896305
20,1123.8478784266983
21,1124.7785935637662
22,1125.7093087008343
23,1126.6400238379022
24,1127.57073897497
25,1128.5014541120381
26,1129.432169249106
27,1130.3628843861738
28,1131.293599523242
29,1132.2243146603098
30,1133.1550297973777
31,1134.0857449344458
32,1135.0164600715136
33,1135.9471752085815
34,1136.8778903456496
35,1137.8086054827174
36,1138.7393206197853
37,1139.6700357568534
38,1140.6007508939213
39,1141.5314660309891
40,1142.4621811680572
41,1143.392896305125
42,1144.323611442193
43,1145.254326579261
44,1146.185041716329
45,1147.1157568533968
46,1148.0464719904649
47,1148.9771871275327
48,1149.9079022646006
49,1150.8386174016687
50,1151.7693325387365
51,1152.7000476758044
52,1153.6307628128725
53,1154.5614779499404
54,1155.4921930870082
55,1156.4229082240763
56,1157.3536233611442
57,1158.284338498212
58,1159.2150536352801
59,1160.145768772348
60,1161.0764839094159
61,1162.007199046484
62,1162.9379141835518
63,1163.8686293206197
64,1164.7993444576878
65,1165.7300595947556
66,1166.6607747318235
67,1167.5914898688916
68,1168.5222050059594
69,1169.4529201430273
70,1170.3836352800954
71,1171.3143504171633
72,1172.2450655542311
73,1173.175780691299
74,1174.106495828367
75,1175.037210965435
76,1175.9679261025028
77,1176.898641239571
78,1177.8293563766388
79,1178.7600715137066
80,1179.6907866507747
81,1180.6215017878426
82,1181.5522169249105
83,1182.4829320619785
84,1183.4136471990464
85,1184.3443623361143
86,1185.2750774731824
87,1186.2057926102502
88,1187.136507747318
89,1188.0672228843862
90,1188.997938021454
91,1189.928653158522
92,1190.85936829559
93,1191.7900834326579
94,1192.7207985697257
95,1193.6515137067938
96,1194.5822288438617
97,1195.5129439809295
98,1196.4436591179976
99,1197.3743742550655
100,1198.3050893921334
101,1199.2358045292015
102,1200.1665196662693
103,1201.0972348033372
104,1202.0279499404053
105,1202.9586650774731
106,1203.889380214541
107,1204.820095351609
108,1205.750810488677
109,1206.6815256257448
110,1207.612240762813
111,1208.5429558998808
112,1209.4736710369486
113,1210.4043861740167
114,1211.3351013110846
115,1212.2658164481525
116,1213.1965315852203
117,1214.1272467222884
118,1215.0579618593563
119,1215.9886769964241
120,1216.9193921334922
121,1217.85010727056
122,1218.780822407628
123,1219.711537544696
124,1220.642252681764
125,1221.5729678188318
126,1222.5036829558999
127,1223.4343980929677
128,1224.3651132300356
129,1225.2958283671037
130,1226.2265435041716
131,1227.1572586412394
132,1228.0879737783075
133,1229.0186889153754
134,1229.9494040524432
135,1230.8801191895113
136,1231.8108343265792
137,1232.741549463647
138,1233.6722646007152
139,1234.602979737783
140,1235.5336948748509
141,1236.464410011919
142,1237.3951251489868
143,1238.3258402860547
144,1239.2565554231228
145,1240.1872705601907
146,1241.1179856972585
147,1242.0487008343266
148,1242.9794159713945
149,1243.9101311084623
150,1244.8408462455304
151,1245.7715613825983
152,1246.7022765196662
153,1247.6329916567342
154,1248.563706793802
155,1249.49442193087
156,1250.425137067938
157,1251.355852205006
158,1252.2865673420738
159,1253.2172824791419
160,1254.1479976162098
161,1255.0787127532776
162,1256.0094278903457
163,1256.9401430274136
164,1257.8708581644814
165,1258.8015733015495
166,1259.7322884386174
167,1260.6630035756853
168,1261.5937187127531
169,1262.5244338498212
170,1263.455148986889
171,1264.3858641239572
172,1265.316579261025
173,1266.247294398093
174,1267.178009535161
175,1268.1087246722288
176,1269.0394398092967
177,1269.9701549463646
178,1270.9008700834327
179,1271.8315852205005
180,1272.7623003575684
181,1273.6930154946365
182,1274.6237306317043
183,1275.5544457687722
184,1276.4851609058403
185,1277.4158760429082
186,1278.346591179976
187,1279.2773063170441
188,1280.208021454112
189,1281.1387365911798
190,1282.069451728248
191,1283.0001668653158
192,1283.9308820023837
193,1284.8615971394518
194,1285.7923122765196
195,1286.7230274135875
196,1287.6537425506556
197,1288.5844576877234
198,1289.5151728247913
199,1290.4458879618592
200,1291.3766030989273
201,1292.3073182359951
202,1293.238033373063
203,1294.168748510131
204,1295.099463647199
205,1296.0301787842668
206,1296.960893921335
207,1297.8916090584028
208,1298.8223241954706
209,1299.7530393325387
210,1300.6837544696066
211,1301.6144696066744
212,1302.5451847437425
213,1303.4758998808104
214,1304.4066150178783
215,1305.3373301549464
216,1306.2680452920142
217,1307.198760429082
218,1308.1294755661502
219,1309.060190703218
220,1309.990905840286
221,1310.921620977354
222,1311.8523361144219
223,1312.7830512514897
224,1313.7137663885578
225,1314.6444815256257
226,1315.5751966626935
227,1316.5059117997616
228,1317.4366269368295
229,1318.3673420738974
230,1319.2980572109655
231,1320.2287723480333
232,1321.1594874851012
233,1322.0902026221693
234,1323.0209177592371
235,1323.951632896305
236,1324.882348033373
237,1325.813063170441
238,1326.7437783075088
239,1327.674493444577
240,1328.6052085816448
241,1329.5359237187126
242,1330.4666388557807
243,1331.3973539928486
244,1332.3280691299165
245,1333.2587842669845
246,1334.1894994040524
247,1335.1202145411203
248,1336.0509296781884
249,1336.9816448152562
250,1337.912359952324
251,1338.8430750893922
252,1339.77379022646
253,1340.704505363528
254,1341.635220500596
255,1342.5659356376639
256,1343.4966507747317
257,1344.4273659117998
258,1345.3580810488677
259,1346.2887961859356
260,1347.2195113230036
261,1348.1502264600715
262,1349.0809415971394
263,1350.0116567342072
264,1350.9423718712753
265,1351.8730870083432
266,1352.803802145411
267,1353.7345172824791
268,1354.665232419547
269,1355.5959475566149
270,1356.526662693683
271,1357.4573778307508
272,1358.3880929678187
273,1359.3188081048868
274,1360.2495232419546
275,1361.1802383790225
276,1362.1109535160906
277,1363.0416686531585
278,1363.9723837902263
279,1364.9030989272942
280,1365.8338140643623
281,1366.7645292014302
282,1367.695244338498
283,1368.625959475566
284,1369.5566746126342
285,1370.487389749702
286,1371.41810488677
287,1372.348820023838
288,1373.2795351609059
289,1374.2102502979737
290,1375.1409654350416
291,1376.0716805721097
292,1377.0023957091776
293,1377.9331108462454
294,1378.8638259833135
295,1379.7945411203814
296,1380.7252562574492
297,1381.655971394517
298,1382.5866865315852
299,1383.517401668653
300,1384.448116805721
301,1385.378831942789
302,1386.3095470798569
303,1387.2402622169247
304,1388.1709773539928
305,1389.1016924910607
306,1390.0324076281286
307,1390.9631227651967
308,1391.8938379022645
309,1392.8245530393324
310,1393.7552681764005
311,1394.6859833134683
312,1395.6166984505362
313,1396.5474135876043
314,1397.4781287246722
315,1398.40884386174
316,1399.3395589988081
317,1400.270274135876
318,1401.2009892729438
319,1402.131704410012
320,1403.0624195470798
321,1403.9931346841477
322,1404.9238498212158
323,1405.8545649582836
324,1406.7852800953515
325,1407.7159952324196
326,1408.6467103694874
327,1409.5774255065553
328,1410.5081406436234
329,1411.4388557806913
330,1412.3695709177591
331,1413.3002860548272
332,1414.231001191895
333,1415.161716328963
334,1416.092431466031
335,1417.023146603099
336,1417.9538617401668
337,1418.8845768772348
338,1419.8152920143027
339,1420.7460071513706
340,1421.6767222884387
341,1422.6074374255065
342,1423.5381525625744
343,1424.4688676996425
344,1425.3995828367104
345,1426.3302979737782
346,1427.2610131108463
347,1428.1917282479142
348,1429.122443384982
349,1430.0531585220501
350,1430.983873659118
351,1431.9145887961859
352,1432.845303933254
353,1433.7760190703218
354,1434.7067342073897
355,1435.6374493444578
356,1436.5681644815256
357,1437.4988796185935
358,1438.4295947556616
359,1439.3603098927294
360,1440.2910250297973
361,1441.2217401668654
362,1442.1524553039333
363,1443.0831704410011
364,1444.0138855780692
365,1444.944600715137
366,1445.875315852205
367,1446.806030989273
368,1447.736746126341
369,1448.6674612634088
370,1449.5981764004769
371,1450.5288915375447
372,1451.4596066746126
373,1452.3903218116807
374,1453.3210369487485
375,1454.2517520858164
376,1455.1824672228843
377,1456.1131823599524
378,1457.0438974970202
379,1457.974612634088
380,1458.9053277711562
381,1459.836042908224
382,1460.766758045292
383,1461.6974731823598
384,1462.6281883194279
385,1463.5589034564957
386,1464.4896185935636
387,1465.4203337306317
388,1466.3510488676995
389,1467.2817640047674
390,1468.2124791418355
391,1469.1431942789034
392,1470.0739094159712
393,1471.0046245530393
394,1471.9353396901072
395,1472.866054827175
396,1473.7967699642431
397,1474.727485101311
398,1475.6582002383789
399,1476.588915375447
400,1477.5196305125148
401,1478.4503456495827
402,1479.3810607866508
403,1480.3117759237186
404,1481.2424910607865
405,1482.1732061978546
406,1483.1039213349225
407,1484.0346364719903
408,1484.9653516090584
409,1485.8960667461263
410,1486.8267818831941
411,1487.7574970202622
412,1488.68821215733
413,1489.618927294398
414,1490.549642431466
415,1491.480357568534
416,1492.4110727056018
417,1493.3417878426699
418,1494.2725029797377
419,1495.2032181168056
420,1496.1339332538737
421,1497.0646483909416
422,1497.9953635280094
423,1498.9260786650775
424,1499.8567938021454
425,1500.7875089392132
426,1501.7182240762813
427,1502.6489392133492
428,1503.579654350417
429,1504.5103694874851
430,1505.441084624553
431,1506.3717997616209
432,1507.302514898689
433,1508.2332300357568
434,1509.1639451728247
435,1510.0946603098928
436,1511.0253754469607
437,1511.9560905840285
438,1512.8868057210966
439,1513.8175208581645
440,1514.7482359952323
441,1515.6789511323004
442,1516.6096662693683
443,1517.5403814064362
444,1518.4710965435042
445,1519.401811680572
446,1520.33252681764
447,1521.263241954708
448,1522.193957091776
449,1523.1246722288438
450,1524.0553873659119
451,1524.9861025029797
452,1525.9168176400476
453,1526.8475327771157
454,1527.7782479141836
455,1528.7089630512514
456,1529.6396781883195
457,1530.5703933253874
458,1531.5011084624552
459,1532.4318235995233
460,1533.3625387365912
461,1534.293253873659
462,1535.2239690107272
463,1536.154684147795
464,1537.085399284863
465,1538.016114421931
466,1538.9468295589988
467,1539.8775446960667
468,1540.8082598331348
469,1541.7389749702027
470,1542.6696901072705
471,1543.6004052443386
472,1544.5311203814065
473,1545.4618355184743
474,1546.3925506555424
475,1547.3232657926103
476,1548.2539809296782
477,1549.1846960667463
478,1550.1154112038141
479,1551.046126340882
480,1551.9768414779498
481,1552.907556615018
482,1553.8382717520858
483,1554.7689868891537
484,1555.6997020262218
485,1556.6304171632896
486,1557.5611323003575
487,1558.4918474374256
488,1559.4225625744934
489,1560.3532777115613
490,1561.2839928486292
491,1562.2147079856973
492,1563.1454231227651
493,1564.076138259833
494,1565.006853396901
495,1565.937568533969
496,1566.8682836710368
497,1567.798998808105
498,1568.7297139451728
499,1569.6604290822406
500,1570.5911442193087
501,1571.5218593563766
502,1572.4525744934444
503,1573.3832896305125
504,1574.3140047675804
505,1575.2447199046483
506,1576.1754350417164
507,1577.1061501787842
508,1578.036865315852
509,1578.9675804529202
510,1579.898295589988
511,1580.829010727056
512,1581.759725864124
513,1582.6904410011919
514,1583.6211561382597
515,1584.5518712753278
516,1585.4825864123957
517,1586.4133015494635
518,1587.3440166865316
519,1588.2747318235995
520,1589.2054469606674
521,1590.1361620977355
522,1591.0668772348033
523,1591.9975923718712
524,1592.9283075089393
525,1593.8590226460071
526,1594.789737783075
527,1595.720452920143
528,1596.651168057211
529,1597.5818831942788
530,1598.512598331347
531,1599.4433134684148
532,1600.3740286054826
533,1601.3047437425507
534,1602.2354588796186
535,1603.1661740166865
536,1604.0968891537545
537,1605.0276042908224
538,1605.9583194278903
539,1606.8890345649584
540,1607.8197497020262
541,1608.750464839094
542,1609.6811799761622
543,1610.61189511323
544,1611.542610250298
545,1612.473325387366
546,1613.4040405244336
547,1614.3347556615017
548,1615.2654707985698
549,1616.1961859356375
550,1617.1269010727056
551,1618.0576162097736
552,1618.9883313468413
553,1619.9190464839094
554,1620.8497616209775
555,1621.780476758045
556,1622.7111918951132
557,1623.6419070321813
558,1624.572622169249
559,1625.503337306317
560,1626.4340524433849
561,1627.3647675804527
562,1628.2954827175208
563,1629.2261978545887
564,1630.1569129916566
565,1631.0876281287246
566,1632.0183432657925
567,1632.9490584028604
568,1633.8797735399285
569,1634.8104886769963
570,1635.7412038140642
571,1636.6719189511323
572,1637.6026340882004
573,1638.5333492252682
574,1639.464064362336
575,1640.3947794994042
576,1641.325494636472
577,1642.25620977354
578,1643.186924910608
579,1644.1176400476759
580,1645.0483551847437
581,1645.9790703218118
582,1646.9097854588795
583,1647.8405005959476
584,1648.7712157330157
585,1649.7019308700833
586,1650.6326460071514
587,1651.5633611442195
588,1652.494076281287
589,1653.4247914183552
590,1654.3555065554233
591,1655.286221692491
592,1656.216936829559
593,1657.147651966627
594,1658.0783671036947
595,1659.0090822407628
596,1659.939797377831
597,1660.8705125148986
598,1661.8012276519667
599,1662.7319427890345
600,1663.6626579261024
601,1664.5933730631705
602,1665.5240882002383
603,1666.4548033373062
604,1667.3855184743743
605,1668.3162336114422
606,1669.24694874851
607,1670.177663885578
608,1671.108379022646
609,1672.0390941597138
610,1672.969809296782
611,1673.9005244338498
612,1674.8312395709177
613,1675.7619547079858
614,1676.6926698450536
615,1677.6233849821215
616,1678.5541001191896
617,1679.4848152562574
618,1680.4155303933253
619,1681.3462455303934
620,1682.2769606674613
621,1683.2076758045291
622,1684.1383909415972
623,1685.069106078665
624,1685.999821215733
625,1686.930536352801
626,1687.861251489869
627,1688.7919666269368
628,1689.7226817640048
629,1690.6533969010727
630,1691.5841120381406
631,1692.5148271752087
632,1693.4455423122765
633,1694.3762574493444
634,1695.3069725864125
635,1696.2376877234803
636,1697.1684028605482
637,1698.0991179976163
638,1699.0298331346842
639,1699.960548271752
640,1700.8912634088201
641,1701.821978545888
642,1702.7526936829559
643,1703.683408820024
644,1704.6141239570918
645,1705.5448390941597
646,1706.4755542312278
647,1707.4062693682956
648,1708.3369845053635
649,1709.2676996424316
650,1710.1984147794992
651,1711.1291299165673
652,1712.0598450536354
653,1712.990560190703
654,1713.9212753277711
655,1714.8519904648392
656,1715.7827056019069
657,1716.713420738975
658,1717.644135876043
659,1718.5748510131107
660,1719.5055661501788
661,1720.4362812872469
662,1721.3669964243145
663,1722.2977115613826
664,1723.2284266984507
665,1724.1591418355183
666,1725.0898569725864
667,1726.0205721096543
668,1726.9512872467221
669,1727.8820023837902
670,1728.812717520858
671,1729.743432657926
672,1730.674147794994
673,1731.604862932062
674,1732.5355780691298
675,1733.4662932061979
676,1734.3970083432657
677,1735.3277234803336
678,1736.2584386174017
679,1737.1891537544695
680,1738.1198688915374
681,1739.0505840286055
682,1739.9812991656734
